A_id,B_id
683,2
683,3
683,5
683,6
683,7
683,35
685,8
688,2
688,3
688,5
688,6
688,7
688,35
690,8
691,1642
691,3570
694,2
694,3
694,5
694,6
694,7
694,35
696,8
698,2
698,3
698,5
698,6
698,7
698,35
699,2
699,3
699,5
699,6
699,7
699,35
700,2
700,3
700,5
700,6
700,7
700,35
701,2
701,3
701,5
701,6
701,7
701,35
702,2
702,3
702,5
702,6
702,7
702,35
705,8
710,2
710,3
710,5
710,6
710,7
710,35
710,503
711,2
711,3
711,5
711,6
711,7
711,22
711,26
711,35
711,1069
711,1074
711,1766
711,2167
711,2233
711,2444
711,3087
711,3089
711,3754
711,4198
711,4236
712,2
712,3
712,5
712,6
712,7
712,35
714,4
716,2
716,3
716,5
716,6
716,7
716,35
717,2
717,3
717,5
717,6
717,7
717,35
718,2
718,3
718,5
718,6
718,7
718,35
718,1127
721,4322
723,2
723,3
723,5
723,6
723,7
724,2428
725,22
725,26
725,1069
725,1074
726,2
726,3
726,5
726,6
726,7
726,35
727,2
727,3
727,5
727,6
727,7
727,35
728,2
728,3
728,5
728,6
728,7
730,2
730,3
730,5
730,6
730,7
730,35
733,2
733,3
733,5
733,6
733,7
733,9
733,10
733,11
733,35
734,2
734,3
734,5
734,6
734,7
734,35
735,2
735,3
735,5
735,6
735,7
735,35
742,2
742,3
742,5
742,6
742,7
742,9
742,10
742,11
742,35
743,2
743,3
743,5
743,6
743,7
743,35
744,2
744,3
744,5
744,6
744,7
744,35
746,2
746,3
746,5
746,6
746,7
746,35
747,2
747,3
747,5
747,6
747,7
747,35
748,2
748,3
748,5
748,6
748,7
748,35
753,2
753,3
753,5
753,6
753,7
753,35
755,2
755,3
755,5
755,6
755,7
755,35
756,8
756,134
760,2
760,3
760,5
760,6
760,7
760,35
761,2
761,3
761,5
761,6
761,7
761,35
762,1205
763,2
763,3
763,5
763,6
763,7
763,35
765,2
765,3
765,5
765,6
765,7
765,35
766,2
766,3
766,5
766,6
766,7
766,35
767,2
767,3
767,5
767,6
767,7
767,35
769,2
769,3
769,5
769,6
769,7
769,35
770,22
770,26
770,1069
770,1074
772,233
772,1306
773,2
773,3
773,5
773,6
773,7
773,35
774,2
774,3
774,5
774,6
774,7
774,22
774,26
774,35
774,1069
774,1074
774,1766
774,2167
774,2233
774,2444
774,3087
774,3089
774,3754
774,4198
774,4236
776,2
776,3
776,5
776,6
776,7
776,9
776,10
776,11
776,35
777,2449
777,2977
779,233
779,1306
780,2
780,3
780,5
780,6
780,7
780,35
783,2
783,3
783,5
783,6
783,7
783,22
783,26
783,35
783,1069
783,1074
783,1766
783,2167
783,2233
783,2444
783,3087
783,3089
783,3754
783,4198
783,4236
785,2
785,3
785,5
785,6
785,7
785,22
785,26
785,35
785,1069
785,1074
785,1766
785,2167
785,2233
785,2444
785,3087
785,3089
785,3754
785,4198
785,4236
786,2
786,3
786,5
786,6
786,7
786,35
787,2
787,3
787,5
787,6
787,7
787,35
788,2
788,3
788,5
788,6
788,7
788,35
788,1060
788,1061
788,1385
789,2
789,3
789,5
789,6
789,7
789,35
795,22
795,26
804,22
804,26
804,1074
806,18
808,8
810,1074
810,1117
810,2167
810,2444
810,2670
810,4198
811,2237
825,1096
830,136
830,477
830,597
874,22
874,26
874,1069
874,1074
877,22
877,26
877,1069
877,1074
879,2
879,3
879,5
879,6
879,7
879,35
882,2
882,3
882,5
882,6
882,7
882,35
887,4
888,28
894,2
894,3
894,5
894,6
894,7
894,35
898,2
898,3
898,5
898,6
898,7
900,2
900,3
900,5
900,6
900,7
902,2
902,3
902,5
902,6
902,7
916,1214
916,2017
916,2464
923,2
923,3
923,5
923,6
923,7
923,35
927,2
927,3
927,5
927,6
927,7
928,2
928,3
928,5
928,6
928,7
928,35
937,22
937,26
937,1069
937,1074
945,2
945,3
945,5
945,6
945,7
951,2
951,3
951,5
951,6
951,7
951,35
952,2
952,3
952,5
952,6
952,7
954,2
954,3
954,5
954,6
954,7
955,2
955,3
955,5
955,6
955,7
960,2
960,3
960,5
960,6
960,7
960,35
963,2
963,3
963,5
963,6
963,7
964,1314
975,3
975,5
975,6
975,7
978,2
978,3
978,5
978,6
978,7
978,35
983,2
983,3
983,5
983,6
983,7
983,22
983,26
983,35
983,1069
983,1074
983,1766
983,2167
983,2233
983,2444
983,3087
983,3089
983,3754
983,4198
983,4236
992,2
992,3
992,5
992,6
992,7
1001,2
1001,3
1001,5
1001,6
1001,7
1001,35
1002,28
1006,2
1006,3
1006,5
1006,6
1006,7
1006,35
1012,2
1012,3
1012,5
1012,6
1012,7
1014,2
1014,3
1014,5
1014,6
1014,7
1018,22
1018,26
1018,1069
1018,1074
1019,2
1019,3
1019,5
1019,6
1019,7
1019,35
1023,2237
1024,2237
1027,2
1027,3
1027,5
1027,6
1027,7
1027,35
1031,22
1031,26
1031,1069
1031,1074
1033,8
1040,22
1040,26
1040,1069
1040,1074
1041,8
1061,67
1068,22
1068,26
1079,233
1079,1306
1087,22
1087,26
1087,1074
1092,5
1092,6
1092,7
1092,9
1092,10
1092,11
1111,3
1111,5
1111,6
1111,7
1123,2449
1123,4094
1126,22
1126,26
1127,838
1127,1098
1127,1099
1127,2167
1139,2
1139,3
1140,497
1143,233
1143,1306
1148,26
1152,257
1155,80
1156,233
1174,1205
1183,134
1183,1069
1184,2
1184,3
1184,5
1184,6
1184,7
1184,35
1195,1069
1195,1074
1196,233
1196,1306
1256,94
1269,101
1274,1105
1286,2236
1293,2
1293,3
1293,5
1293,6
1293,7
1300,2
1300,3
1300,5
1300,6
1300,7
1300,35
1303,2
1303,3
1304,22
1304,26
1319,838
1319,1098
1321,1766
1321,2167
1321,2233
1321,2444
1321,2670
1321,3087
1321,3089
1321,3754
1321,4198
1321,4236
1329,2
1329,3
1329,5
1329,6
1329,7
1329,35
1336,22
1336,26
1336,1074
1337,28
1340,22
1340,26
1382,3
1382,5
1382,6
1382,7
1382,9
1382,10
1382,11
1391,22
1391,26
1392,2
1392,3
1409,22
1409,26
1420,1326
1436,2
1436,3
1436,5
1436,6
1436,7
1436,35
1442,233
1453,22
1453,26
1454,2145
1454,5088
1462,2
1462,3
1462,5
1462,6
1462,7
1462,35
1523,5
1523,6
1523,7
1523,9
1523,10
1523,11
1540,2
1540,3
1540,5
1540,6
1540,7
1540,35
1551,22
1551,26
1566,1069
1566,1074
1566,1766
1566,2167
1566,2233
1566,2444
1566,3087
1566,3089
1566,3754
1566,4198
1566,4236
1571,5
1571,6
1571,7
1571,9
1571,10
1571,11
1609,22
1609,26
1624,3367
1625,233
1631,2
1631,3
1631,5
1631,6
1631,7
1665,8
1677,2
1677,3
1677,5
1677,6
1677,7
1677,35
1687,9
1687,10
1687,11
1703,2236
1734,3082
1734,4222
1747,1828
1765,71
1791,233
1794,1131
